2853	15482	ID=g1	460	499	1028	1178	2461	2701	1624	3313	1655	1349	560
21807	22788	ID=g2	15	15	24	43	30	14	19	32	37	36	14
28861	43452	ID=g3	581	527	792	964	829	767	991	952	1509	2713	208
46747	55390	ID=g4	528	609	2548	2693	857	840	897	957	2358	1462	339
57197	66407	ID=g5	43	47	36	28	273	43	94	100	73	163	24
75005	77669	ID=g6	17	19	13	15	14	1	11	9	4	16	2
80396	84660	ID=g7	22	22	16	33	90	32	14	15	1377	22	9
87949	88299	ID=g8	22	24	23	14	7	4	19	8	23	46	4
88698	89405	ID=g9	22	31	15	15	7	19	20	14	17	36	7
98572	99069	ID=g10	40	46	15	40	77	18	99	48	53	50	79
99136	158421	ID=g11	134	98	53	145	228	62	384	148	88	138	312
165110	170140	ID=g12	258	242	678	1358	378	263	414	424	246	748	160
172786	174787	ID=g13	101	59	57	464	578	315	494	1334	124	210	122
175259	185802	ID=g14	500	373	711	985	668	514	910	1119	947	1094	244
188187	193162	ID=g15	255	161	132	351	165	55	229	160	103	662	30
194425	196836	ID=g16	553	366	135	330	145	74	227	191	517	809	28
206017	210080	ID=g17	627	233	20	101	1495	1165	8640	3026	940	2316	3996
214295	214663	ID=g18	148	60	11	42	9	7	80	17	8	28	22
214737	217303	ID=g19	163	70	27	52	102	30	295	73	8	79	49
218191	219600	ID=g20	145	58	16	47	94	58	466	253	2	31	377
222452	224414	ID=g21	1111	988	94	341	2675	201	1648	450	2599	1603	767
229345	239046	ID=g22	1919	1324	173	245	1089	311	2386	823	4874	3623	4286
242607	244460	ID=g23	205	195	148	259	134	164	284	583	310	257	104
245248	246590	ID=g24	57	57	16	38	21	13	7	9	13	20	3
249772	269509	ID=g25	468	425	3460	13206	1467	1223	1220	2048	362	1289	462
273318	282422	ID=g26	880	521	845	1124	168	92	180	191	1860	319	65
283274	288023	ID=g27	403	131	91	268	130	124	222	216	603	516	65
298826	307277	ID=g28	98	52	74	180	276	227	320	478	53	70	178
310547	311754	ID=g29	192	137	58	269	351	135	359	259	287	679	104
313890	314147	ID=g30	91	55	17	55	70	24	100	58	58	120	28
315737	317745	ID=g31	147	84	135	246	96	88	152	144	155	359	69
318356	319245	ID=g32	195	188	209	256	84	149	134	108	389	155	46
332469	337025	ID=g33	50	16	18	409	53	49	139	81	52	168	26
345042	351530	ID=g34	221	116	431	1114	453	240	665	358	114	1247	108
351992	354437	ID=g35	85	77	214	301	179	185	176	161	104	220	38
355338	361708	ID=g36	372	311	799	1557	1136	1194	1612	1589	372	954	820
365534	370603	ID=g37	154	111	224	406	311	235	402	495	233	439	165
379060	393734	ID=g38	72	26	575	922	309	213	275	245	28	139	122
398913	399287	ID=g39	48	11	15	24	13	16	0	14	15	14	4
409036	412846	ID=g40	49	11	15	18	13	16	0	14	15	15	4
426031	457561	ID=g41	52	28	29	62	23	30	31	36	48	36	10
470872	487311	ID=g42	66	26	21	56	60	33	26	37	31	25	12
504393	504839	ID=g43	33	3	1	17	13	13	4	9	9	6	4
509175	510113	ID=g44	35	3	0	18	12	12	5	10	9	7	4
516137	540192	ID=g45	41	7	15	52	31	17	10	25	17	11	10
540967	550902	ID=g46	39	1	8	44	21	6	12	13	8	3	5
555225	580175	ID=g47	405	265	475	1160	528	382	690	555	507	1719	118
581677	591640	ID=g48	11	5	9	35	129	72	65	319	3	12	25
593775	599440	ID=g49	182	161	152	400	814	515	673	647	336	630	465
600347	605275	ID=g50	252	242	148	398	298	254	422	328	523	877	166
609097	617034	ID=g51	194	173	417	1483	385	205	760	425	313	1460	141
632120	652369	ID=g52	30	28	8	31	99	41	41	247	19	13	27
655186	655711	ID=g53	19	22	0	18	11	8	7	21	8	3	8
664979	672257	ID=g54	25	25	14	35	27	4	17	39	12	13	10
674570	674851	ID=g55	22	23	12	34	18	2	10	25	7	3	10
675089	675475	ID=g56	22	23	12	34	18	2	10	26	7	3	10
681752	696216	ID=g57	35	27	13	37	42	10	25	92	14	18	16
703164	703466	ID=g58	32	24	13	31	20	1	12	21	3	3	12
703954	710322	ID=g59	32	25	3	31	25	3	14	23	3	5	12
712929	714148	ID=g60	32	24	2	31	24	4	14	24	3	4	12
716417	716866	ID=g61	32	24	5	37	71	40	54	46	10	36	26
716977	719210	ID=g62	34	26	18	85	452	269	354	317	55	268	105
731095	732644	ID=g63	50	34	8	115	280	91	97	372	15	28	37
745489	746016	ID=g64	41	31	4	12	21	8	21	28	3	3	12
748376	748789	ID=g65	43	33	4	8	25	3	20	27	3	2	13
752637	755363	ID=g66	86	70	150	279	151	131	69	147	24	24	40
755880	756432	ID=g67	43	35	7	10	3	4	15	30	3	3	13
767991	781685	ID=g68	180	171	498	848	2431	2070	1330	1819	216	760	513
793536	797432	ID=g69	234	212	208	238	342	213	757	1684	266	880	231
802534	804548	ID=g70	23	59	206	772	207	211	187	213	123	435	130
806126	813234	ID=g71	9	44	117	432	190	2636	379	529	60	100	14286
820313	845389	ID=g72	344	388	107	70	119	41	92	176	71	140	23
848830	855955	ID=g73	31	21	25	25	13	5	28	52	15	19	11
857194	857622	ID=g74	31	17	17	9	4	4	13	20	13	3	10
865149	869173	ID=g75	39	22	23	13	8	6	14	23	14	5	11
871085	879891	ID=g76	302	320	180	64	199	53	133	345	200	158	35
894472	906158	ID=g77	52	47	37	38	255	80	151	542	44	95	40
919505	927847	ID=g78	142	138	137	237	200	187	417	331	217	357	143
930123	932045	ID=g79	31	20	20	16	20	23	20	24	19	12	20
945225	952133	ID=g80	33	23	23	15	18	10	21	25	20	24	19
954677	955063	ID=g81	30	23	20	15	9	5	16	19	18	11	18
969736	970290	ID=g82	30	22	20	14	9	4	13	19	19	12	20
971680	972024	ID=g83	29	23	20	16	10	5	1751	21	21	14	1123
975812	978861	ID=g84	27	25	20	18	11	8	16	21	21	12	19
984248	999080	ID=g85	30	29	22	20	12	15	19	27	21	15	19
1016129	1027120	ID=g86	28	34	24	24	16	21	447	29	23	6	272
1028667	1028834	ID=g87	27	34	22	20	11	13	14	22	20	6	20
1029273	1039796	ID=g88	50	47	33	68	365	884	149	194	62	317	76
1045333	1048360	ID=g89	117	97	295	682	208	155	401	203	137	1186	90
1050552	1052737	ID=g90	298	315	792	962	130	94	207	94	177	820	40
